Record Number,Page Number,School Name,Address 1,Address 2,City,State,Zip,Phone,Principal Name,School Website,District,Grades Served,Data Quality Score,Data Quality Issues
343,23,BINGMAN PK,"5265 S Kenneth St, Beaumont, TX 77705",5265 S Kenneth St,Beaumont,TX,77705,(409) 617-6200,Carolyn Little,http://www.bmtisd.com/Bingman,Beaumont ISD,Early Education - Prekindergarten,100,
344,23,BIRD EDUCATION CENTER,"1300 19th St, Plano, TX 75074",1300 19th St,Plano,TX,75074,(469) 752-8100,Saul Laredo,http://www.pisd.edu/,Plano ISD,Kindergarten - Grade 6,100,
345,23,BIRDIE ALEXANDER ELEM,"1830 Goldwood Dr, Dallas, TX 75232",1830 Goldwood Dr,Dallas,TX,75232,(972) 749-3100,David Welch,http://www.dallasisd.org/alexander,Dallas ISD,Early Education - Grade 5,100,
346,24,BIRDVILLE ELEM,"3111 Carson St, Haltom City, TX 76117",3111 Carson St,Haltom City,TX,76117,(817) 547-1500,Tammy Pope,http://www.birdvilleschools.net/,Birdville ISD,Early Education - Grade 5,100,
347,24,BIRDWELL SCHOOL,"2010 Talley Ave, Tyler, TX 75701",2010 Talley Ave,Tyler,TX,75701,(903) 262-1870,Ms Mina Naranjo,Not Found,Tyler ISD,Prekindergarten - Grade 7,90,School Website not available
348,24,BIRKES ELEM,"8500 Queenston Blvd, Houston, TX 77095",8500 Queenston Blvd,Houston,TX,77095,(281) 345-3300,Ms Stacie Everson,http://www.cfisd.net/,Cypress-Fairbanks ISD,Early Education - Grade 5,100,
349,24,BIRNHAM WOODS ELEM,"31150 Birnham Woods Dr, Spring, TX 77386",31150 Birnham Woods Dr,Spring,TX,77386,(832) 663-4200,Ms Mikia Barnes,http://www.conroeisd.net/,Conroe ISD,Early Education - Grade 4,100,
350,24,BISHOP ARTS STEAM ACADEMY,"201 N Adams Ave, Dallas, TX 75208",201 N Adams Ave,Dallas,TX,75208,(972) 502-8200,Ruth Roman,http://www.dallasisd.org/reagan,Dallas ISD,Early Education - Grade 5,100,
351,24,Not Found,"705 W Main St, Bishop, TX 78343",705 W Main St,Bishop,TX,78343,(361) 584-2434,Mrs Emily Salazar,http://www.bishopcisd.net/,Bishop CISD,Early Education - Grade 2,90,School Name not available
352,24,BIVINS ELEM,"1500 S Fannin, Amarillo, TX 79102",1500 S Fannin,Amarillo,TX,79102,(806) 326-4100,Mr Mark Blacksten,http://bivinsamaisd.sharpschool.com/,Amarillo ISD,Prekindergarten - Grade 5,100,
353,24,BLACK ELEM,"328 E Newsom St, Mesquite, TX 75149",328 E Newsom St,Mesquite,TX,75149,(972) 882-7240,Ms Darla Franklin,http://www.mesquiteisd.org/,Mesquite ISD,Early Education - Grade 5,100,
354,24,BLACK ELEM,"14155 Grant Rd, Cypress, TX 77429",14155 Grant Rd,Cypress,TX,77429,(281) 320-7145,Ms Kyla Mote,http://www.cfisd.net/,Cypress-Fairbanks ISD,Early Education - Grade 5,100,
355,24,BLACKBURN ELEM,"2401 Concord Dr, Forney, TX 75126",2401 Concord Dr,Forney,TX,75126,(469) 762-4300,Ms Courtney Parker,Not Found,Forney ISD,Kindergarten - Grade 4,90,School Website not available
356,24,BLACKLAND PRAIRIE ELEM,"2105 Via Sonoma Trl, Round Rock, TX 78664",2105 Via Sonoma Trl,Round Rock,TX,78664,(512) 424-8600,Jesica Cuellar,http://schools.roundrockisd.org/bkldprairie/,Round Rock ISD,Early Education - Grade 5,100,
357,24,BLACKSHEAR ELEM,"2900 Holman Ave, Houston, TX 77004",2900 Holman Ave,Houston,TX,77004,(713) 942-1481,Ms Sukari Thomas,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
358,24,BLACKSHEAR ELEM,"11211 Lacey Rd, Tomball, TX 77375",11211 Lacey Rd,Tomball,TX,77375,(832) 375-7610,Ms Ashley Baker,Not Found,Klein ISD,Early Education - Grade 5,90,School Website not available
359,24,BLACKSHEAR ELEM,"1712 E 11th St, Austin, TX 78702",1712 E 11th St,Austin,TX,78702,(512) 414-2021,Tiona Bell,http://www.austinisd.org/schools/blackshear,Austin ISD,Prekindergarten - Grade 5,100,
360,24,BLACKWELL SCHOOL,"610 N Alamo, Blackwell, TX 79506",610 N Alamo,Blackwell,TX,79506,(325) 282-2311,Jason Powers Mr Bryan Shipman,Not Found,Blackwell CISD,Prekindergarten - Grade 12,90,School Website not available
361,25,BLAIR ELEM,"14055 Heartside Dr, Farmers Branch, TX 75234",14055 Heartside Dr,Farmers Branch,TX,75234,(972) 968-1000,Dr Jose Ramos,http://www.cfbisd.edu/,Carrollton-Farmers Branch ISD,Prekindergarten - Grade 5,100,
362,25,BLAKE MANOR ELEM,"18010 Blake Manor Rd, Manor, TX 78653",18010 Blake Manor Rd,Manor,TX,78653,(512) 278-4200,Krystle Austin,http://bme.manorisd.net/,Manor ISD,Kindergarten - Grade 6,100,
363,25,BLANCA E SANCHEZ,"2901 Incarnate Word, McAllen, TX 78504",2901 Incarnate Word,McAllen,TX,78504,(956) 971-1100,Mrs Veronica Rodriguez,http://sanchez.mcallenisd.org/,McAllen ISD,Prekindergarten - Grade 5,100,
364,25,BLANCHETTE ELEM,"2550 Sarah St, Beaumont, TX 77705",2550 Sarah St,Beaumont,TX,77705,(409) 617-6300,Ms April Johnston,Not Found,Beaumont ISD,Kindergarten - Grade 5,90,School Website not available
365,25,BLANCO ELEM,"814 Eleventh St, Blanco, TX 78606",814 Eleventh St,Blanco,TX,78606,(830) 833-4338,Mr Gregory Wright,http://blancoisd.org/,Blanco ISD,Early Education - Grade 5,100,
366,25,BLANCO VISTA ELEM,"2951 Blanco Vista Blvd, San Marcos, TX 78666",2951 Blanco Vista Blvd,San Marcos,TX,78666,(512) 268-8506,Sean Fox,http://www.hayscisd.net/,Hays CISD,Prekindergarten - Grade 5,100,
367,25,BLAND ELEM,"5123 FM 2194, Celeste, TX 75423",5123 FM 2194,Celeste,TX,75423,(903) 776-2239,Mrs Cinda Owen,Not Found,Bland ISD,Prekindergarten - Grade 5,90,School Website not available
368,25,BLANKET SCHOOL,"901 Ave H, Blanket, TX 76432",901 Ave H,Blanket,TX,76432,(325) 748-5311,Dr Chris Morrow,Not Found,Blanket ISD,Prekindergarten - Grade 12,90,School Website not available
369,25,BLANTON ELEM,"2525 Scott Mill Rd, Carrollton, TX 75006",2525 Scott Mill Rd,Carrollton,TX,75006,(972) 968-1100,Dr Tricia Badillo,http://www.cfbisd.edu/,Carrollton-Farmers Branch ISD,Prekindergarten - Grade 5,100,
370,25,BLANTON ELEM,"9501 Stacee Ln, Lantana, TX 76266",9501 Stacee Ln,Lantana,TX,76266,(940) 369-0700,Landon Turrubiart,Not Found,Denton ISD,Prekindergarten - Grade 5,90,School Website not available
371,25,BLANTON ELEM,"4101 Lynbrook Ave, Odessa, TX 79762",4101 Lynbrook Ave,Odessa,TX,79762,(432) 456-1259,Ms Kamye Smith,Not Found,Ector County ISD,Prekindergarten - Grade 5,90,School Website not available
372,25,BLANTON ELEM,"1900 S Collins St, Arlington, TX 76010",1900 S Collins St,Arlington,TX,76010,(682) 867-1000,Mr Joshua Leonard,Not Found,Arlington ISD,Prekindergarten - Grade 6,90,School Website not available
373,25,BLANTON ELEM,"5408 Westminster Dr, Austin, TX 78723",5408 Westminster Dr,Austin,TX,78723,(512) 414-2026,Victoria Oneal,http://www.austinisd.org/schools/blanton,Austin ISD,Prekindergarten - Grade 5,100,
374,25,BLATTMAN ELEM,"3300 N Loop 1604 W, San Antonio, TX 78231",3300 N Loop 1604 W,San Antonio,TX,78231,(210) 397-4600,Ms Chaisleigh Southworth,http://nisd.net/,Northside ISD,Early Education - Grade 5,100,
375,25,BLAZIER ELEM,"8601 Vertex Blvd, Austin, TX 78744",8601 Vertex Blvd,Austin,TX,78744,(512) 841-8800,Ms Leticia Pena,http://www.austinisd.org/schools/blazier,Austin ISD,Kindergarten - Grade 6,100,
376,26,BLEDSOE ELEM,"1900 Timber Rdg Dr, Frisco, TX 75034",1900 Timber Rdg Dr,Frisco,TX,75034,(469) 633-3600,Ms Sherry Klingenberg,http://www.friscoisd.org/,Frisco ISD,Kindergarten - Grade 5,100,
377,26,BLESSING ELEM,"231 FM 616, Blessing, TX 77419",231 FM 616,Blessing,TX,77419,(979) 843-4330,Ms Merideth Dodd,http://www.tidehavenisd.com/,Tidehaven ISD,Early Education - Grade 5,100,
378,26,BLISS ELEM,"4401 Sheridan Rd, El Paso, TX 79906",4401 Sheridan Rd,El Paso,TX,79906,(915) 236-5150,Narichica Handy,http://bliss.episd.org/,El Paso ISD,Early Education - Grade 5,100,
379,26,BLOCK HOUSE CREEK ELEM,"401 Creek Run Dr, Leander, TX 78641",401 Creek Run Dr,Leander,TX,78641,(512) 570-7600,Deana Cady,Not Found,Leander ISD,Kindergarten - Grade 5,90,School Website not available
380,26,BLOOM ACADEMY CHARTER SCHOOL,"3420 Almeda Genoa Rd, Houston, TX 77047",3420 Almeda Genoa Rd,Houston,TX,77047,(346) 333-1320,Ms Candess Briscoe,http://www.bloomacademy.org/,Bloom Academy Charter School,Kindergarten - Grade 3,100,
381,26,BLOOMBURG SCHOOL,"307 W Cypress St, Bloomburg, TX 75556",307 W Cypress St,Bloomburg,TX,75556,(903) 728-5216,Mr Ryan Stanley Mrs Silvia Stroman,http://www.bloomburgisd.net/,Bloomburg ISD,Prekindergarten - Grade 12,100,
382,26,BLOOMING GROVE ELEM,"601 N FM 55, Blooming Grove, TX 76626",601 N FM 55,Blooming Grove,TX,76626,(903) 695-4401,Mrs Allyson King,http://www.bgisd.org/,Blooming Grove ISD,Early Education - Grade 5,100,
383,26,BLOOMINGTON ELEM,"200 N Leonard, Bloomington, TX 77951",200 N Leonard,Bloomington,TX,77951,(361) 333-8003,Carl Frisch,http://www.bisd-tx.org/,Bloomington ISD,Prekindergarten - Grade 5,100,
384,26,BLOSSOM ELEM,"310 High St, Blossom, TX 75416",310 High St,Blossom,TX,75416,(903) 982-5230,Mr Leslie Martin,http://www.prairiland.net/,Prairiland ISD,Prekindergarten - Grade 5,100,
385,26,BLUE HAZE ELEM,"601 Blue Haze Dr, Fort Worth, TX 76108",601 Blue Haze Dr,Fort Worth,TX,76108,(817) 367-2583,Emily Estes,Not Found,White Settlement ISD,Kindergarten - Grade 4,90,School Website not available
386,26,BLUE HOLE PRI,"15900 Winters Mill Pkwy, Wimberley, TX 78676",15900 Winters Mill Pkwy,Wimberley,TX,78676,(512) 847-3407,Dara Brooks,http://www.wimberleyisd.net/,Wimberley ISD,Prekindergarten - Grade 2,100,
387,26,BLUE RIDGE ELEM,"10944 CR 504, Blue Ridge, TX 75424",10944 CR 504,Blue Ridge,TX,75424,(972) 752-5554,Mrs Shelley Reeves,http://brisd.net/,Blue Ridge ISD,Prekindergarten - Grade 5,100,
388,26,BLUE RIDGE ELEM,"6241 Mc Hard Rd, Houston, TX 77053",6241 Mc Hard Rd,Houston,TX,77053,(281) 634-4520,Sonya Evans,http://www.fortbendisd.com/bre,Fort Bend ISD,Kindergarten - Grade 5,100,
389,26,BLUEBONNET ELEM,"416 FM 1209, Bastrop, TX 78602",416 FM 1209,Bastrop,TX,78602,(512) 772-7680,Laura Faircloth,http://www.bisdtx.org/,Bastrop ISD,Prekindergarten - Grade 4,100,
390,26,BLUEBONNET ELEM,"211 S Mockingbird Ln, Lockhart, TX 78644",211 S Mockingbird Ln,Lockhart,TX,78644,(512) 398-0900,Ms Belinda Vasquez,Not Found,Lockhart ISD,Kindergarten - Grade 5,90,School Website not available
391,27,BLUEBONNET ELEM,"221 16th St, Hereford, TX 79045",221 16th St,Hereford,TX,79045,(806) 363-7650,Andrea Brown,http://www.herefordisd.net/,Hereford ISD,Kindergarten - Grade 5,100,
392,27,BLUEBONNET ELEM,"2000 Spinks Rd, Flower Mound, TX 75028",2000 Spinks Rd,Flower Mound,TX,75028,(469) 713-5195,Lana Fisher,Not Found,Lewisville ISD,Kindergarten - Grade 5,90,School Website not available
393,27,BLUEBONNET ELEM,"7000 Teal Dr, Fort Worth, TX 76137",7000 Teal Dr,Fort Worth,TX,76137,(817) 744-4500,Ms Rhonda Mcgee,http://www.kellerisd.net/,Keller ISD,Kindergarten - Grade 5,100,
394,27,BLUEBONNET ELEM,"1010 Chisholm Vly Dr, Round Rock, TX 78681",1010 Chisholm Vly Dr,Round Rock,TX,78681,(512) 428-7700,Samuel Soto,http://schools.roundrockisd.org/bluebonnet/,Round Rock ISD,Prekindergarten - Grade 5,100,
395,27,BLUEBONNET TRAIL ELEM,"11316 Farmhaven Rd, Austin, TX 78754",11316 Farmhaven Rd,Austin,TX,78754,(512) 278-4125,Ms Kristina Muehling,http://bte.manorisd.net/,Manor ISD,Kindergarten - Grade 6,100,
396,27,BLUFF DALE ELEM,"710 Church St, Bluff Dale, TX 76433",710 Church St,Bluff Dale,TX,76433,(254) 728-3277,Ed Berngen,http://www.bdisd.net/,Bluff Dale ISD,Prekindergarten - Grade 12,100,
397,27,BLUM ISD,"310 S Ave F, Blum, TX 76627",310 S Ave F,Blum,TX,76627,(254) 874-5231,Mrs Chantelle Hurt,Not Found,Blum ISD,Prekindergarten - Grade 12,90,School Website not available
398,27,BOALS ELEM,"2035 Jaguar Dr, Frisco, TX 75034",2035 Jaguar Dr,Frisco,TX,75034,(469) 633-3300,Ms Christina Beran,http://www.friscoisd.org/,Frisco ISD,Early Education - Grade 5,100,
399,27,BOB HOPE ELEM,"3022 Reforma, San Antonio, TX 78211",3022 Reforma,San Antonio,TX,78211,(210) 927-8180,Mrs Maricela Passmore,Not Found,Southwest ISD,Early Education - Grade 5,90,School Website not available
400,27,BOB HOPE SCHOOL - ELEM CAMPUS,"4301 32nd St, Port Arthur, TX 77642",4301 32nd St,Port Arthur,TX,77642,(409) 983-3244,Mr John Mclendon,http://www.bobhopeschool.org/,Bob Hope School,Prekindergarten - Grade 5,100,
401,27,BOB HOPE SCHOOL BEAUMONT,"7720 Park N Ave, Beaumont, TX 77708",7720 Park N Ave,Beaumont,TX,77708,(409) 983-3244,Ricky Frey,Not Found,Bob Hope School,Prekindergarten - Grade 7,90,School Website not available
402,27,BOB AND BETTY NELSON ELEM,"14400 County Rd 185, Alvin, TX 77511",14400 County Rd 185,Alvin,TX,77511,(281) 388-1130,Mrs Tracy Olvera,http://www.alvinisd.net/Domain/6752,Alvin ISD,Early Education - Grade 5,100,
403,27,BOB AND LOLA SANFORD ELEM,"300 Williams Way, Van Alstyne, TX 75495",300 Williams Way,Van Alstyne,TX,75495,(903) 482-8802,Mrs Tiffany Bietz,Not Found,Van Alstyne ISD,Early Education - Grade 5,90,School Website not available
404,27,BOGGESS ELEM,"225 Glen Ridge Dr, Murphy, TX 75094",225 Glen Ridge Dr,Murphy,TX,75094,(469) 752-4000,Ms Shurandia Holden,http://www.pisd.edu/,Plano ISD,Prekindergarten - Grade 5,100,
405,27,BOLDT ELEM,"310 Hollimon Pkwy, San Antonio, TX 78253",310 Hollimon Pkwy,San Antonio,TX,78253,(210) 398-2000,Ms Rosie Siller,Not Found,Northside ISD,Early Education - Grade 5,90,School Website not available
406,28,BOLES ELEM,"9777 FM 2101, Quinlan, TX 75474",9777 FM 2101,Quinlan,TX,75474,(903) 914-1393,Shirley Duran,http://bolesisd.com/,Boles ISD,Prekindergarten - Grade 4,100,
407,28,BOLIN ELEM,"5705 Cheyenne Dr, Parker, TX 75002",5705 Cheyenne Dr,Parker,TX,75002,(214) 495-6750,Mrs Reena Varughese,http://www.allenisd.org/web/Bolin_Elementary/Index.htm,Allen ISD,Kindergarten - Grade 6,100,
408,28,BONHAM ACADEMY,"925 S St Mary's St, San Antonio, TX 78205",925 S St Mary's St,San Antonio,TX,78205,(210) 228-3300,Jeffrey Price,Not Found,San Antonio ISD,Kindergarten - Grade 8,90,School Website not available
409,28,BONHAM EES,"1301 E Coral Way, Grand Prairie, TX 75051",1301 E Coral Way,Grand Prairie,TX,75051,(972) 262-4255,Ms Rachel Mendoza,http://www.gpisd.org/bonham,Grand Prairie ISD,Early Education - Kindergarten,100,
410,28,BONHAM ELEM,"3100 Wilkes Dr, Bryan, TX 77803",3100 Wilkes Dr,Bryan,TX,77803,(979) 209-1200,Mrs Gloria Garcia-Rhodes,http://bonham.bryanisd.org/,Bryan ISD,Prekindergarten - Grade 4,100,
411,28,BONHAM ELEM,"2400 E Jefferson, Harlingen, TX 78550",2400 E Jefferson,Harlingen,TX,78550,(956) 427-3070,Mrs Herminia Ramirez,http://www.hcisd.org/bonham,Harlingen CISD,Early Education - Grade 5,100,
412,28,BONHAM ELEM,"8302 Braes River Dr, Houston, TX 77074",8302 Braes River Dr,Houston,TX,77074,(713) 778-3480,Ms Magdalena Villa,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
413,28,BONHAM ELEM,"909 Bonham St, Midland, TX 79703",909 Bonham St,Midland,TX,79703,(432) 240-6000,Dr Armando Gallegos,http://www.midlandisd.net/,Midland ISD,Prekindergarten - Grade 6,100,
414,28,BONHAM ELEM,"717 Buccaneer Dr, Abilene, TX 79605",717 Buccaneer Dr,Abilene,TX,79605,(325) 690-3745,Mr Kevin Wellborn,http://www.abileneisd.org/,Abilene ISD,Kindergarten - Grade 5,100,
415,28,BONHAM ELEM,"4630 Southland, San Angelo, TX 76904",4630 Southland,San Angelo,TX,76904,(325) 947-3917,Ginger Luther,http://bonham.saisd.org/,San Angelo ISD,Early Education - Grade 5,100,
416,28,BONHAM PK SCHOOL,"125 Hwy 123, San Marcos, TX 78666",125 Hwy 123,San Marcos,TX,78666,(512) 757-6031,Eulogia Martinez,http://www.smcisd.net/Bonham.cfm,San Marcos CISD,Early Education - Prekindergarten,100,
417,28,BONNER ELEM,"8100 Elrod St, Houston, TX 77017",8100 Elrod St,Houston,TX,77017,(713) 943-5740,Mr Klinger Casquete,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
418,28,BONNER ELEM,"235 S Saunders, Tyler, TX 75702",235 S Saunders,Tyler,TX,75702,(903) 262-1920,Mrs Stephanie Burns,Not Found,Tyler ISD,Prekindergarten - Grade 5,90,School Website not available
419,28,BONNIE BRAE,"3504 Kimbo Rd, Ft Worth, TX 76111",3504 Kimbo Rd,Ft Worth,TX,76111,(817) 222-7500,Naomi Salas,http://www.fortworthisd.org/,Fort Worth ISD,Prekindergarten - Grade 5,100,
420,28,BONNIE HOLLAND ELEM,"23720 Seven Meadow Pkwy, Katy, TX 77449",23720 Seven Meadow Pkwy,Katy,TX,77449,(281) 234-0506,Linnea Griffith,http://www.katyisd.org/,Katy ISD,Early Education - Grade 5,100,
421,29,BONNIE L GARCIA ELEM,"1453 Concord Hills Blvd, Laredo, TX 78046",1453 Concord Hills Blvd,Laredo,TX,78046,(956) 764-8900,Ms Patricia E Lanas,http://www.uisd.net/,United ISD,Early Education - Grade 5,100,
422,29,BOOKER T WASHINGTON ELEM,"510 Mlk, Elgin, TX 78621",510 Mlk,Elgin,TX,78621,(512) 281-3411,Linda Tamez,http://www.elginisd.net/,Elgin ISD,Kindergarten - Grade 4,100,
423,29,BOOKER T WASHINGTON ELEM,"1300 Harding St, Wichita Falls, TX 76303",1300 Harding St,Wichita Falls,TX,76303,(940) 235-1196,Ms Angela Rooney,http://www.wfisd.net/,Wichita Falls ISD,Prekindergarten - Grade 5,100,
424,29,BOONE ELEM,"6614 Springtime Dr, San Antonio, TX 78249",6614 Springtime Dr,San Antonio,TX,78249,(210) 397-1450,Ms Jennifer Hilbrich,http://nisd.net/,Northside ISD,Early Education - Grade 5,100,
425,29,BOONE ELEM,"11400 Bissonnet, Houston, TX 77099",11400 Bissonnet,Houston,TX,77099,(281) 983-8308,Ms Marlo Molinaro,http://www.aliefisd.net/,Alief ISD,Early Education - Grade 4,100,
426,29,BOONE ELEM,"8101 Croftwood Dr, Austin, TX 78749",8101 Croftwood Dr,Austin,TX,78749,(512) 414-2537,Tami Ballard,http://www.austinisd.org/schools/boone,Austin ISD,Early Education - Grade 5,100,
427,29,BORCHARDT ELEM,"4300 Waskom Dr, Plano, TX 75024",4300 Waskom Dr,Plano,TX,75024,(469) 633-2800,Ms Jeimi Sayklay,http://www.friscoisd.org/,Frisco ISD,Kindergarten - Grade 5,100,
428,29,BORDEN COUNTY SCHOOL,"240 W Kincaid St, Gail, TX 79738",240 W Kincaid St,Gail,TX,79738,(806) 756-4450,Mr Steve C Cates,http://www.bcisd.net/,Borden County ISD,Prekindergarten - Grade 12,100,
429,29,BORMAN ELEM,"1201 Parvin St, Denton, TX 76205",1201 Parvin St,Denton,TX,76205,(940) 369-2500,Jesus Lujan,Not Found,Denton ISD,Prekindergarten - Grade 5,90,School Website not available
430,29,BOSQUEVILLE ELEM,"7636 Rock Creek Rd, Waco, TX 76708",7636 Rock Creek Rd,Waco,TX,76708,(254) 752-6006,Mrs Kelly Bray,http://www.bosquevilleisd.org/,Bosqueville ISD,Early Education - Grade 5,100,
431,29,BOVINA ELEM,"500 Halsell St, Bovina, TX 79009",500 Halsell St,Bovina,TX,79009,(806) 251-1316,Danella Wheeler,http://www.bovinaisd.org/,Bovina ISD,Early Education - Grade 5,100,
432,29,BOWDEN ACADEMY,"515 Willow St, San Antonio, TX 78202",515 Willow St,San Antonio,TX,78202,(210) 738-9770,Venus Davis,Not Found,San Antonio ISD,Prekindergarten - Grade 8,90,School Website not available
433,29,BOWIE ELEM,"309 W Lincoln Ave, Harlingen, TX 78550",309 W Lincoln Ave,Harlingen,TX,78550,(956) 427-3080,Mrs Jaymie Galan,http://www.hcisd.org/bowie,Harlingen CISD,Prekindergarten - Grade 5,100,
434,29,BOWIE ELEM,"7643 La Manga Dr, Dallas, TX 75248",7643 La Manga Dr,Dallas,TX,75248,(469) 593-6000,Chanda Ash,http://risd.org/,Richardson ISD,Early Education - Grade 6,100,
435,29,BOWIE ELEM,"2304 Bamore Rd, Rosenberg, TX 77471",2304 Bamore Rd,Rosenberg,TX,77471,(832) 223-1200,Andrea Richard,http://www.lcisd.org/,Lamar CISD,Early Education - Grade 5,100,
436,30,BOWIE ELEM,"4020 Monterrey Oaks, San Marcos, TX 78666",4020 Monterrey Oaks,San Marcos,TX,78666,(512) 393-6200,Mrs Pam Thomas,http://smcisd.net/,San Marcos CISD,Kindergarten - Grade 5,100,
437,30,BOWIE ELEM,"6005 Stonewall St, Greenville, TX 75402",6005 Stonewall St,Greenville,TX,75402,(903) 457-2676,Ms Lauren Barta,http://www.greenvilleisd.com/,Greenville ISD,Kindergarten - Grade 5,100,
438,30,BOWIE ELEM,"1800 Bowie Dr, Corsicana, TX 75110",1800 Bowie Dr,Corsicana,TX,75110,(903) 872-6541,Mrs Hollye Usery,http://www.cisd.org/,Corsicana ISD,Kindergarten - Grade 4,100,
439,30,BOWIE ELEM,"2034 Jeanette St, Abilene, TX 79602",2034 Jeanette St,Abilene,TX,79602,(325) 671-4770,Ms Tina Jones,http://www.abileneisd.org/,Abilene ISD,Kindergarten - Grade 5,100,
440,30,BOWIE ELEM,"3700 Forest Trl, San Angelo, TX 76901",3700 Forest Trl,San Angelo,TX,76901,(325) 947-3921,Ashley Gould,http://bowie.saisd.org/,San Angelo ISD,Kindergarten - Grade 5,100,
441,30,BOWIE INT,"800 N Mill St, Bowie, TX 76230",800 N Mill St,Bowie,TX,76230,(940) 689-2887,Sara Cravens,http://www.bowieisd.net/,Bowie ISD,Early Education - Grade 5,100,
442,30,BOWIE PRI,"1400 Mockingbird Ln, Sulphur Springs, TX 75482",1400 Mockingbird Ln,Sulphur Springs,TX,75482,(903) 885-3772,Pam Voss,http://schools.ssisd.net/default.aspx?name=bes.homepage,Sulphur Springs ISD,Kindergarten - Grade 3,100,
443,30,BOYD ELEM,"500 E Morton Ave, Boyd, TX 76023",500 E Morton Ave,Boyd,TX,76023,(940) 433-9520,Mr Chauncey Willingham,http://www.boydisd.net/,Boyd ISD,Prekindergarten - Grade 3,100,
444,30,BRADFIELD ELEM,"3817 Bucknell Dr, Garland, TX 75042",3817 Bucknell Dr,Garland,TX,75042,(972) 494-8303,Ms Cecilia Bados,http://www.garlandisd.net/bradfield,Garland ISD,Prekindergarten - Grade 5,100,
445,30,BRADFIELD ELEM,"4300 Southern Ave, Dallas, TX 75205",4300 Southern Ave,Dallas,TX,75205,(214) 780-3200,Regina Dumar,Not Found,Highland Park ISD,Early Education - Grade 4,90,School Website not available
446,30,BRADFORD ELEM,"2302 Bradford St, San Angelo, TX 76903",2302 Bradford St,San Angelo,TX,76903,(325) 659-3645,Bertha Carrasco,http://bradford.saisd.org/,San Angelo ISD,Prekindergarten - Grade 5,100,
447,30,BRADLEY ELEM,"4200 Falls Lakes Dr, Spring, TX 77386",4200 Falls Lakes Dr,Spring,TX,77386,(832) 482-6800,Dr Christine Butler,http://www.conroeisd.net/,Conroe ISD,Prekindergarten - Grade 4,100,
448,30,BRADY ELEM,"205 W China St, Brady, TX 76825",205 W China St,Brady,TX,76825,(325) 597-2590,Ms Christy Finn,http://www.bradyisd.org/,Brady ISD,Early Education - Grade 5,100,
449,30,BRAEBURN ELEM,"5550 Pine St, Houston, TX 77081",5550 Pine St,Houston,TX,77081,(713) 295-5210,Ms Amanda Rodgers,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
450,30,BRANDENBURG ELEM,"2800 Hillcrest Dr, Irving, TX 75062",2800 Hillcrest Dr,Irving,TX,75062,(972) 600-7100,Netassha Rendon,http://www.irvingisd.net/,Irving ISD,Prekindergarten - Grade 5,100,
451,31,BRANSFORD ELEM,"601 Glade Rd, Colleyville, TX 76034",601 Glade Rd,Colleyville,TX,76034,(817) 305-4920,Ms Erin Gerdes,Not Found,Grapevine-Colleyville ISD,Early Education - Grade 5,90,School Website not available
452,31,BRAUCHLE ELEM,"8555 Bowens Crossing, San Antonio, TX 78250",8555 Bowens Crossing,San Antonio,TX,78250,(210) 397-1550,Ms April Mata-Tausch,http://nisd.net/,Northside ISD,Early Education - Grade 5,100,
453,31,BRAUN STATION ELEM,"8631 Tezel Rd, San Antonio, TX 78254",8631 Tezel Rd,San Antonio,TX,78254,(210) 397-1550,Mr Jack Funkhouser,http://nisd.net/,Northside ISD,Early Education - Grade 5,100,
454,31,BRAY ELEM,"218 N Broad St, Cedar Hill, TX 75104",218 N Broad St,Cedar Hill,TX,75104,(972) 291-4231,Mr Eric Barnes,http://www.chisd.com/schools/bray,Cedar Hill ISD,Prekindergarten - Grade 5,100,
455,31,BRAZOS BEND ELEM,"621 Cunningham Creek Blvd, Sugar Land, TX 77479",621 Cunningham Creek Blvd,Sugar Land,TX,77479,(281) 634-5180,Stephanie Viado,http://www.fortbendisd.com/bbe,Fort Bend ISD,Prekindergarten - Grade 5,100,
456,31,BRAZOS ELEM,"9814 Kibler St, Orchard, TX 77464",9814 Kibler St,Orchard,TX,77464,(979) 478-6610,Mrs Kimberly Etheridge,http://brazosisd.net/,Brazos ISD,Early Education - Grade 5,100,
457,31,BRAZOS RIVER CHARTER SCHOOL,"FM 200 And FM 199, Nemo, TX 76070",FM 200 And FM 199,Nemo,TX,76070,(254) 898-9226,Carolyn Kendall,Not Found,Brazos River Charter School,Kindergarten - Grade 12,90,School Website not available
458,31,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY BRYAN/COL,"410 Bethel Ln, Bryan, TX 77802",410 Bethel Ln,Bryan,TX,77802,(979) 774-5032,Mr Christopher Osgood,http://www.brazosschool.org/,Brazos School for Inquiry & Creativity,Prekindergarten - Grade 8,100,
459,31,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY TIDWELL,"1055 W Tidwell Rd, Houston, TX 77091",1055 W Tidwell Rd,Houston,TX,77091,(713) 681-1960,Dr John Bean,http://www.brazosschool.org/,Brazos School for Inquiry & Creativity,Prekindergarten - Grade 6,100,
